hero,score
Calico,0.208583
Ivy,0.200627
Wraith,0.195817
Mo & Krill,0.19462
Drifter,0.190945
Venator,0.190193
Lash,0.188845
Haze,0.18572
Celeste,0.184985
McGinnis,0.183721
Apollo,0.183226
Dynamo,0.179928
Seven,0.17928
Viscous,0.176873
Silver,0.176197
Pocket,0.175678
Paradox,0.17515
Vindicta,0.174586
The Doorman,0.171548
Abrams,0.171215
Lady Geist,0.171025
Victor,0.17056
Paige,0.16666
Warden,0.165784
Shiv,0.165337
Vyper,0.164916
Kelvin,0.164904
Yamato,0.164154
Mina,0.161667
Graves,0.160703
Bebop,0.156153
Infernus,0.154694
Billy,0.15417
Rem,0.151196
Grey Talon,0.150931
Sinclair,0.148245
Holliday,0.147478
Mirage,0.140443
